,area_name,district_name,name,result_protiv,result_unom_type,result_yavka,result_za,status,updated_at
3619,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 3, корпус 1",4.0,1,43.0,96.0,in_list,06.06
3620,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 20, корпус 2",2.0,1,53.0,98.0,in_list,06.06
3621,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 3, корпус 2",0.0,1,41.0,100.0,in_list,06.06
3622,Соколиная Гора,ВАО,"5-я улица Соколиной Горы, дом 21, корпус 1",0.0,1,92.0,100.0,in_list,06.06
3623,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 34, корпус 2",34.0,1,50.0,66.0,in_list,06.06
3624,Ярославский,СВАО,"Холмогорская улица, дом 1",5.0,1,64.0,95.0,in_list,06.06
3625,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 38",66.0,1,59.0,34.0,in_list,06.06
3626,Ярославский,СВАО,"Холмогорская улица, дом 3",1.0,1,61.0,99.0,in_list,06.06
3627,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 40, корпус 1",38.0,1,60.0,62.0,in_list,06.06
3628,Нижегородский,ЮВАО,"улица Верхняя Хохловка, дом 15",17.0,1,50.0,83.0,in_list,06.06
3629,Нижегородский,ЮВАО,"улица Верхняя Хохловка, дом 17",8.0,1,65.0,92.0,in_list,06.06
3630,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 40, корпус 2",51.0,1,59.0,49.0,in_list,06.06
3631,Нижегородский,ЮВАО,"улица Верхняя Хохловка, дом 31",9.0,1,57.0,91.0,in_list,06.06
3632,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 42/22, корпус 1",7.0,1,61.0,93.0,in_list,06.06
3633,Нижегородский,ЮВАО,"улица Верхняя Хохловка, дом 33",10.0,1,64.0,90.0,in_list,06.06
3634,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 42/22, корпус 2",4.0,1,64.0,96.0,in_list,06.06
3635,Нижегородский,ЮВАО,"улица Верхняя Хохловка, дом 41",12.0,1,53.0,88.0,in_list,06.06
3636,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 42/22, корпус 3",7.0,1,59.0,93.0,in_list,06.06
3637,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 46/35, корпус 1",0.0,1,44.0,100.0,in_list,06.06
3638,Нижегородский,ЮВАО,"улица Верхняя Хохловка, дом 43",3.0,1,62.0,97.0,in_list,06.06
3639,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 46/35, корпус 2",6.0,1,47.0,94.0,in_list,06.06
3640,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 46/35, корпус 3",11.0,1,61.0,89.0,in_list,06.06
3641,Котловка,ЮЗАО,"Большая Черёмушкинская улица, дом 15, корпус 1",3.0,1,65.0,97.0,in_list,06.06
3642,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 65, корпус 2",3.0,1,50.0,97.0,in_list,06.06
3643,Котловка,ЮЗАО,"Большая Черёмушкинская улица, дом 15, корпус 2",30.0,1,67.0,70.0,in_list,06.06
3644,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 65, корпус 3",4.0,1,60.0,96.0,in_list,06.06
3645,Котловка,ЮЗАО,"Большая Черёмушкинская улица, дом 15, корпус 4",0.0,1,70.0,100.0,in_list,06.06
3646,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 65, корпус 4",7.0,1,56.0,93.0,in_list,06.06
3647,Котловка,ЮЗАО,"Большая Черёмушкинская улица, дом 19, корпус 1",3.0,1,55.0,97.0,in_list,06.06
3648,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 65, корпус 5",8.0,1,63.0,92.0,in_list,06.06
3649,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 69, корпус 2",6.0,1,60.0,94.0,in_list,06.06
3650,Котловка,ЮЗАО,"Большая Черёмушкинская улица, дом 19, корпус 2",0.0,1,62.0,100.0,in_list,06.06
3651,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 69, корпус 3",5.0,1,47.0,95.0,in_list,06.06
3652,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 69, корпус 4",4.0,1,57.0,96.0,in_list,06.06
3653,Котловка,ЮЗАО,"Большая Черёмушкинская улица, дом 19, корпус 3",4.0,1,43.0,96.0,in_list,06.06
3654,Северное Измайлово,ВАО,"Сиреневый бульвар, дом 69, корпус 5",0.0,1,53.0,100.0,in_list,06.06
3655,Котловка,ЮЗАО,"Большая Черёмушкинская улица, дом 19, корпус 4",0.0,1,45.0,100.0,in_list,06.06
3656,Котловка,ЮЗАО,"Большая Черёмушкинская улица, дом 19, корпус 5",0.0,1,63.0,100.0,in_list,06.06
3657,Восточное Измайлово,ВАО,"Сиреневый бульвар, дом 70, корпус 1",6.0,1,68.0,94.0,in_list,06.06
3658,Коптево,САО,"проезд Черепановых, дом 16",0.0,1,53.0,100.0,in_list,06.06
3659,Коптево,САО,"проезд Черепановых, дом 20",7.0,1,48.0,93.0,in_list,06.06
3660,Коптево,САО,"проезд Черепановых, дом 22",16.0,1,54.0,84.0,in_list,06.06
3661,Коптево,САО,"проезд Черепановых, дом 58",40.0,1,70.0,60.0,in_list,06.06
3662,Пресненский,ЦАО,"2-я Черногрязская улица, дом 11/15",21.0,1,47.0,79.0,in_list,06.06
3663,Пресненский,ЦАО,"2-я Черногрязская улица, дом 3, строение 1",23.0,1,58.0,77.0,in_list,06.06
3664,Пресненский,ЦАО,"2-я Черногрязская улица, дом 5, корпус 1",45.0,1,73.0,55.0,in_list,06.06
3665,Пресненский,ЦАО,"2-я Черногрязская улица, дом 9",44.0,1,36.0,56.0,in_list,06.06
3666,Косино-Ухтомский,ВАО,"улица Чёрное Озеро, дом 1",6.0,1,61.0,94.0,in_list,06.06
3667,Косино-Ухтомский,ВАО,"улица Чёрное Озеро, дом 10",5.0,1,79.0,95.0,in_list,06.06
3668,Косино-Ухтомский,ВАО,"улица Чёрное Озеро, дом 2",17.0,1,40.0,83.0,in_list,06.06
3669,Косино-Ухтомский,ВАО,"улица Чёрное Озеро, дом 7, корпус 1",0.0,1,63.0,100.0,in_list,06.06
3670,Косино-Ухтомский,ВАО,"улица Чёрное Озеро, дом 7, корпус 2",0.0,1,38.0,100.0,in_list,06.06
3671,Косино-Ухтомский,ВАО,"улица Чёрное Озеро, дом 7, корпус 3",0.0,1,58.0,100.0,in_list,06.06
3672,Южное Тушино,СЗАО,"Сходненская улица, дом 52, корпус 1",22.0,1,58.0,78.0,in_list,06.06
3673,Косино-Ухтомский,ВАО,"улица Чёрное Озеро, дом 8",17.0,1,75.0,83.0,in_list,06.06
3674,Южное Тушино,СЗАО,"Сходненская улица, дом 52, корпус 3",18.0,1,63.0,82.0,in_list,06.06
3675,Кузьминки,ЮВАО,"Зеленодольская улица, дом 21, корпус 1",0.0,1,52.0,100.0,in_list,06.06
3676,Зюзино,ЮЗАО,"Черноморский бульвар, дом 11, корпус 2",8.0,1,64.0,92.0,in_list,06.06
3677,Зюзино,ЮЗАО,"Черноморский бульвар, дом 13, корпус 1",10.0,1,65.0,90.0,in_list,06.06
3678,Басманный,ЦАО,"Сыромятнический проезд, дом 7/14",13.0,1,69.0,87.0,in_list,06.06
